max_depth,sample_min_split,test_size,custom_accuracy,custom_precision,custom_recall,custom_f1,custom_train_time,custom_prediction_time,custom_memory_usage,sklearn_accuracy,sklearn_precision,sklearn_recall,sklearn_f1,sklearn_train_time,sklearn_prediction_time,sklearn_memory_usage
1,2,0.3,0.6111111111111112,0.4506265664160401,0.5661375661375662,0.48459119496855346,0.10459733009338379,0.0,0.00728607177734375,0.6111111111111112,0.4506265664160401,0.5661375661375662,0.48459119496855346,0.0009999275207519531,0.0,0.005209922790527344
1,3,0.3,0.6111111111111112,0.4506265664160401,0.5661375661375662,0.48459119496855346,0.10004258155822754,0.0,0.00093841552734375,0.6111111111111112,0.4506265664160401,0.5661375661375662,0.48459119496855346,0.0010280609130859375,0.00099945068359375,0.0009489059448242188
1,4,0.3,0.6111111111111112,0.4506265664160401,0.5661375661375662,0.48459119496855346,0.09856081008911133,0.0,0.00093841552734375,0.6111111111111112,0.4506265664160401,0.5661375661375662,0.48459119496855346,0.00113677978515625,0.0,0.0009489059448242188
1,5,0.3,0.6111111111111112,0.4506265664160401,0.5661375661375662,0.48459119496855346,0.10103750228881836,0.0,0.00093841552734375,0.6111111111111112,0.4506265664160401,0.5661375661375662,0.48459119496855346,0.0009989738464355469,0.0,0.0009489059448242188
2,2,0.3,0.8703703703703703,0.8835978835978836,0.8835978835978836,0.8803418803418803,0.2121269702911377,0.0,0.004375457763671875,0.8888888888888888,0.8982456140350877,0.8994708994708995,0.8973684210526316,0.0009930133819580078,0.0,0.0009489059448242188
2,3,0.3,0.8703703703703703,0.8835978835978836,0.8835978835978836,0.8803418803418803,0.20011186599731445,0.0,0.00139617919921875,0.8888888888888888,0.8982456140350877,0.8994708994708995,0.8973684210526316,0.0009827613830566406,0.0,0.0009489059448242188
2,4,0.3,0.8703703703703703,0.8835978835978836,0.8835978835978836,0.8803418803418803,0.20016860961914062,0.0,0.00139617919921875,0.8888888888888888,0.8982456140350877,0.8994708994708995,0.8973684210526316,0.0010802745819091797,0.0,0.0009489059448242188
2,5,0.3,0.8703703703703703,0.8835978835978836,0.8835978835978836,0.8803418803418803,0.20864319801330566,0.0,0.00139617919921875,0.8888888888888888,0.8982456140350877,0.8994708994708995,0.8973684210526316,0.0009975433349609375,0.0,0.0009489059448242188
3,2,0.3,0.9629629629629629,0.9656084656084656,0.9656084656084656,0.9656084656084656,0.3203308582305908,0.0,0.00292205810546875,0.9629629629629629,0.9710144927536232,0.9592592592592593,0.9638304224511121,0.0009875297546386719,0.0,0.0009489059448242188
3,3,0.3,0.9629629629629629,0.9656084656084656,0.9656084656084656,0.9656084656084656,0.2953150272369385,0.0,0.00208282470703125,0.9629629629629629,0.9710144927536232,0.9592592592592593,0.9638304224511121,0.0009915828704833984,0.0,0.0009489059448242188
3,4,0.3,0.9629629629629629,0.9656084656084656,0.9656084656084656,0.9656084656084656,0.3485686779022217,0.0,0.00208282470703125,0.9629629629629629,0.9710144927536232,0.9592592592592593,0.9638304224511121,0.0010836124420166016,0.0,0.0009489059448242188
3,5,0.3,0.9629629629629629,0.9656084656084656,0.9656084656084656,0.9656084656084656,0.29558563232421875,0.0,0.00208282470703125,0.9629629629629629,0.9710144927536232,0.9592592592592593,0.9638304224511121,0.001585245132446289,0.0,0.0009489059448242188
5,2,0.3,0.9444444444444444,0.9482456140350877,0.9497354497354498,0.9485827290705339,0.3031125068664551,0.0,0.0024080276489257812,0.9629629629629629,0.9710144927536232,0.9592592592592593,0.9638304224511121,0.0014138221740722656,0.0,0.0009489059448242188
5,3,0.3,0.9444444444444444,0.9482456140350877,0.9497354497354498,0.9485827290705339,0.3158586025238037,0.0,0.00234222412109375,0.9629629629629629,0.9710144927536232,0.9592592592592593,0.9638304224511121,0.0010004043579101562,0.0,0.0009489059448242188
5,4,0.3,0.9444444444444444,0.9482456140350877,0.9497354497354498,0.9485827290705339,0.3302114009857178,0.0,0.00234222412109375,0.9629629629629629,0.9710144927536232,0.9592592592592593,0.9638304224511121,0.000993967056274414,0.0,0.0009489059448242188
5,5,0.3,0.9444444444444444,0.9482456140350877,0.9497354497354498,0.9485827290705339,0.3267631530761719,0.0,0.00234222412109375,0.9629629629629629,0.9710144927536232,0.9592592592592593,0.9638304224511121,0.0010039806365966797,0.0,0.0009489059448242188
10,2,0.3,0.9444444444444444,0.9482456140350877,0.9497354497354498,0.9485827290705339,0.35387754440307617,0.0,0.00234222412109375,0.9629629629629629,0.9710144927536232,0.9592592592592593,0.9638304224511121,0.0024297237396240234,0.0,0.0009489059448242188
